position	post_id	post_by	post_text	post_published	comment_id	comment_by	is_reply	comment_message	comment_published	comment_like_count	attachment_type	attachment_url
61_0	469974510474_10161491403995475	c992ae2630a5223d06b076adb833689225214a4e	 Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista	2019-01-25T16:15:00+0000	10161491403995475_10161492275085475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	Ele já chegou. Está a viver em casa do Mamadou.	2019-01-25T17:57:52+0000	0		
61_1	469974510474_10161491403995475	c992ae2630a5223d06b076adb833689225214a4e	 Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista	2019-01-25T16:15:00+0000	10161491403995475_10161492278405475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	Kasamento em direkto no programa do Goucha?	2019-01-25T17:59:28+0000	0		
61_2	469974510474_10161491403995475	c992ae2630a5223d06b076adb833689225214a4e	 Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista	2019-01-25T16:15:00+0000	10161491403995475_10161492251495475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	Novo assessor do Bloko? Kontratação milionária do merkado de Inverno por troka kom Mamadou? Asilo polítiko? Vai fikar numa das kasaS da Katarina ou do Robles?	2019-01-25T17:52:07+0000	1		
