position	post_id	post_by	post_text	post_published	comment_id	comment_by	is_reply	comment_message	comment_published	comment_like_count	attachment_type	attachment_url
117_51	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161489851285475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"Jean Mathielo pra Portugal mesmo que esse canalha está indo! Mas queria mesmo que ele fosse para Corea do Norte!!!"	2019-01-25T01:18:58+0000	1		
117_52	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161489922195475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"Jean Mathielo vê lá se o SEF não te manda embora"	2019-01-25T01:44:12+0000	4		
117_53	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161490367585475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"Jean Mathielo,eu também não quero esse lixo,essa cobra cuspeira,no meu lindo Portugal!"	2019-01-25T04:55:34+0000	3		
117_54	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161490375745475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"Wellington Matos,o tu o que fazes cá também?"	2019-01-25T04:59:33+0000	2		
117_55	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161490400965475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"Jean Mathielo tenho a impressão que vai sim. Qual o único país socialista que ainda dá mídia pra esse tipo de coisa? Como ele obviamente não vai para Cuba ou Venezuela."	2019-01-25T05:11:59+0000	2		
117_56	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161490421270475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"Marco Madonia,o povo é soberano e, assim,só provou que o Lulacorrupto e ladrão,mais a sua avezinha de estimação Dilma, não foram nenhums paraísos! O povo escolheu,deixem o homem governar as conclusões são apuradas no fim do mandato.Depois o povo tem a liberdade de nova escolha."	2019-01-25T05:20:59+0000	0		
117_57	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161490779300475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"Ele e bem vindo e trabalhador"	2019-01-25T08:48:45+0000	2		
117_58	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161490802385475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"Wellington Matos ... Realmente sua pergunta me deixou confuso ... da mesma forma me deixou confuso saber se vc é homem ou é mulher ! Enfim ..."	2019-01-25T09:04:40+0000	0		
117_59	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161490806420475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"Luis Filipe L Ramos Não preciso ir ao SEF, na verdade nunca precisei, pois sou CIDADÃO Europeu ... diferente de vc, que provavelmente está aqui ilegal e trabalhando lavando pratos a anos !"	2019-01-25T09:07:06+0000	0		
117_60	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161490912270475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"Jean Mathielo haha deves ser comediante, sou Português toda a minha família é estou na minha terra e tu não que nem Europeu és, e em Portugal se foste bem recebido ele também pode ser independente de cores Políticas, nem tens direito a proibir ninguém de vir para cá"	2019-01-25T09:59:16+0000	1		
